,timestamp,open,set_type,relevant,queue_full,queue_empty,queue_end_pos,lanes,labelled
station_id_41_20200401T080926.jpg,2020-04-01 08:09:26,False,Train,True,False,True,,,True
station_id_41_20200401T081929.jpg,2020-04-01 08:19:29,False,Valid,True,False,True,,,True
station_id_41_20200401T082932.jpg,2020-04-01 08:29:32,False,Train,True,False,True,,,True
station_id_41_20200401T083935.jpg,2020-04-01 08:39:35,False,Train,True,False,True,,,True
station_id_41_20200401T084938.jpg,2020-04-01 08:49:38,False,Train,True,False,True,,,True
station_id_41_20200401T085940.jpg,2020-04-01 08:59:40,False,Train,True,False,True,,,True
station_id_41_20200401T090943.jpg,2020-04-01 09:09:43,False,Train,True,False,True,,,True
station_id_41_20200401T091946.jpg,2020-04-01 09:19:46,False,Train,True,False,True,,,True
station_id_41_20200401T092949.jpg,2020-04-01 09:29:49,False,Train,True,False,True,,,True
station_id_41_20200401T093952.jpg,2020-04-01 09:39:52,False,Train,True,False,True,,,True
station_id_41_20200401T094955.jpg,2020-04-01 09:49:55,False,Train,True,True,False,,1.0,True
station_id_41_20200401T095958.jpg,2020-04-01 09:59:58,False,Train,True,True,False,,2.0,True
station_id_41_20200401T101001.jpg,2020-04-01 10:10:01,True,Train,True,True,False,,2.0,True
station_id_41_20200401T102003.jpg,2020-04-01 10:20:03,True,Test,True,True,False,,2.0,True
station_id_41_20200401T103006.jpg,2020-04-01 10:30:06,True,Train,True,True,False,,2.0,True
station_id_41_20200401T104009.jpg,2020-04-01 10:40:09,True,Train,True,True,False,,2.0,True
station_id_41_20200401T105012.jpg,2020-04-01 10:50:12,True,Train,True,True,False,,2.0,True
station_id_41_20200401T110014.jpg,2020-04-01 11:00:14,True,Train,True,False,False,1026.0,2.0,True
station_id_41_20200401T111017.jpg,2020-04-01 11:10:17,True,Train,True,False,False,1033.0,2.0,True
station_id_41_20200401T112020.jpg,2020-04-01 11:20:20,True,Train,True,False,False,1078.0,2.0,True
station_id_41_20200401T113023.jpg,2020-04-01 11:30:23,True,Valid,True,False,False,1079.0,2.0,True
station_id_41_20200401T114026.jpg,2020-04-01 11:40:26,True,Test,True,False,False,1061.0,2.0,True
station_id_41_20200401T115029.jpg,2020-04-01 11:50:29,True,Train,True,True,False,,2.0,True
station_id_41_20200401T120032.jpg,2020-04-01 12:00:32,True,Train,True,True,False,,2.0,True
station_id_41_20200401T121035.jpg,2020-04-01 12:10:35,True,Test,True,True,False,,2.0,True
station_id_41_20200401T122037.jpg,2020-04-01 12:20:37,True,Test,True,True,False,,2.0,True
station_id_41_20200401T123040.jpg,2020-04-01 12:30:40,True,Train,True,True,False,,,True
station_id_41_20200401T124043.jpg,2020-04-01 12:40:43,True,Train,True,True,False,,,True
station_id_41_20200401T125046.jpg,2020-04-01 12:50:46,True,Train,True,False,False,991.0,2.0,True
station_id_41_20200401T130049.jpg,2020-04-01 13:00:49,True,Test,True,True,False,,2.0,True
station_id_41_20200401T131052.jpg,2020-04-01 13:10:52,True,Train,True,True,False,,2.0,True
station_id_41_20200401T132055.jpg,2020-04-01 13:20:55,True,Train,True,True,False,,2.0,True
station_id_41_20200401T133058.jpg,2020-04-01 13:30:58,True,Test,True,True,False,,2.0,True
station_id_41_20200401T134101.jpg,2020-04-01 13:41:01,True,Train,True,True,False,,2.0,True
station_id_41_20200401T135103.jpg,2020-04-01 13:51:03,True,Train,True,True,False,,2.0,True
station_id_41_20200401T140106.jpg,2020-04-01 14:01:06,True,Train,True,True,False,,2.0,True
station_id_41_20200401T141109.jpg,2020-04-01 14:11:09,True,Train,True,True,False,,2.0,True
station_id_41_20200401T142112.jpg,2020-04-01 14:21:12,True,Valid,True,True,False,,2.0,True
station_id_41_20200401T143115.jpg,2020-04-01 14:31:15,True,Train,True,False,False,1099.0,2.0,True
station_id_41_20200401T144117.jpg,2020-04-01 14:41:17,True,Valid,True,True,False,,2.0,True
station_id_41_20200401T145120.jpg,2020-04-01 14:51:20,True,Test,True,True,False,,2.0,True
station_id_41_20200401T150123.jpg,2020-04-01 15:01:23,True,Valid,True,True,False,,2.0,True
station_id_41_20200401T151126.jpg,2020-04-01 15:11:26,True,Train,True,True,False,,2.0,True
station_id_82_20200401T151557.jpg,2020-04-01 15:15:57,True,Valid,False,,,,,True
station_id_41_20200401T152129.jpg,2020-04-01 15:21:29,True,Train,True,False,False,1086.0,2.0,True
station_id_82_20200401T152600.jpg,2020-04-01 15:26:00,True,Train,False,,,,,True
station_id_41_20200401T153132.jpg,2020-04-01 15:31:32,True,Test,True,True,False,,2.0,True
station_id_82_20200401T153603.jpg,2020-04-01 15:36:03,True,Train,False,,,,,True
station_id_41_20200401T154134.jpg,2020-04-01 15:41:34,True,Train,True,True,False,,2.0,True
station_id_41_20200401T155137.jpg,2020-04-01 15:51:37,True,Train,True,True,False,,2.0,True
station_id_41_20200401T160208.jpg,2020-04-01 16:02:08,True,Train,True,True,False,,2.0,True
station_id_41_20200401T161235.jpg,2020-04-01 16:12:35,True,Train,True,True,False,,2.0,True
station_id_41_20200401T162238.jpg,2020-04-01 16:22:38,True,Train,True,True,False,,2.0,True
station_id_41_20200401T163241.jpg,2020-04-01 16:32:41,True,Train,True,True,False,,2.0,True
station_id_41_20200401T164244.jpg,2020-04-01 16:42:44,True,Train,True,True,False,,2.0,True
station_id_41_20200401T165247.jpg,2020-04-01 16:52:47,True,Train,True,True,False,,2.0,True
station_id_41_20200401T170250.jpg,2020-04-01 17:02:50,False,Train,True,True,False,,2.0,True
station_id_41_20200401T171252.jpg,2020-04-01 17:12:52,False,Train,True,False,False,1044.0,1.0,True
station_id_41_20200401T172255.jpg,2020-04-01 17:22:55,False,Train,True,False,True,,,True
station_id_41_20200401T173258.jpg,2020-04-01 17:32:58,False,Train,True,False,True,,,True
station_id_41_20200401T174301.jpg,2020-04-01 17:43:01,False,Train,True,False,True,,,True
station_id_41_20200401T175304.jpg,2020-04-01 17:53:04,False,Train,True,False,True,,,True
station_id_41_20200401T180307.jpg,2020-04-01 18:03:07,False,Train,True,False,True,,,True
station_id_41_20200401T181310.jpg,2020-04-01 18:13:10,False,Train,True,False,True,,,True
station_id_41_20200401T182312.jpg,2020-04-01 18:23:12,False,Train,False,False,True,,,True
station_id_41_20200401T183315.jpg,2020-04-01 18:33:15,False,Train,False,,,,,True
station_id_41_20200401T184318.jpg,2020-04-01 18:43:18,False,Train,False,,,,,True
station_id_41_20200401T185321.jpg,2020-04-01 18:53:21,False,Train,False,,,,,True
station_id_41_20200402T012817.jpg,2020-04-02 01:28:17,False,Test,False,,,,,True
station_id_41_20200402T014655.jpg,2020-04-02 01:46:55,False,Train,False,,,,,True
station_id_41_20200402T015830.jpg,2020-04-02 01:58:30,False,Test,False,,,,,True
station_id_41_20200402T022019.jpg,2020-04-02 02:20:19,False,Train,False,,,,,True
station_id_41_20200402T090236.jpg,2020-04-02 09:02:36,False,Train,True,False,True,,,True
station_id_41_20200402T091304.jpg,2020-04-02 09:13:04,False,Valid,True,False,False,563.0,1.0,True
station_id_41_20200402T092306.jpg,2020-04-02 09:23:06,False,Train,True,False,False,702.0,1.0,True
station_id_41_20200402T093309.jpg,2020-04-02 09:33:09,False,Train,True,True,False,,1.0,True
station_id_41_20200402T094312.jpg,2020-04-02 09:43:12,False,Test,True,True,False,,,True
station_id_41_20200402T095315.jpg,2020-04-02 09:53:15,False,Train,True,True,False,,2.0,True
station_id_41_20200402T100318.jpg,2020-04-02 10:03:18,True,Valid,True,True,False,,2.0,True
station_id_41_20200402T101321.jpg,2020-04-02 10:13:21,True,Valid,True,True,False,,2.0,True
